;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting Open;1;0.149662416;0.149912478;0.147536884;0.157289322;0.155913978;0.140285071;0.135533883;1;0.937859465;0.592023006;0.551512878;0.481495374;0.736934234;0.41947987;1;0.602650663;0.550762691;0.478744686;0.741685421;0.417354339;1;0.402350588;0.35983996;0.578269567;0.326206552;1;0.706926732;0.561265316;0.542260565;1;0.490872718;0.555013753;1;0.471867967;1;26.2589;18.1314;14.7998;10.9386
0;S3;Resting Open;1;0.154163541;0.134533633;0.137284321;0.139284821;0.138034509;0.118779695;0.133033258;1;0.49299825;0.405726432;0.528382096;0.304576144;0.372468117;0.461740435;1;0.428857214;0.369217304;0.231557889;0.360965241;0.345211303;1;0.279194799;0.189672418;0.307451863;0.257939485;1;0.356964241;0.298574644;0.505376344;1;0.201675419;0.326206552;1;0.34796199;1;0.651395;-1.88029;-0.581267;0.935401
0;S5;Resting Open;1;0.094898725;0.108902226;0.11927982;0.101650413;0.11327832;0.098024506;0.084021005;1;0.449487372;0.271192798;0.425606402;0.323580895;0.428107027;0.351087772;1;0.3975994;0.277694424;0.242185546;0.446736684;0.239184796;1;0.179544886;0.169417354;0.321455364;0.162165541;1;0.41847962;0.268317079;0.392473118;1;0.230057514;0.34096024;1;0.26344086;1;-6.18161;-3.73849;-2.94537;-2.99292
0;S7;Resting Open;1;0.113153288;0.116904226;0.116404101;0.11227807;0.104901225;0.103900975;0.090272568;1;0.529757439;0.489497374;0.515628907;0.351837959;0.449237309;0.43335834;1;0.592648162;0.36084021;0.253688422;0.454488622;0.319579895;1;0.334708677;0.245686422;0.427856964;0.285571393;1;0.481495374;0.335208802;0.473368342;1;0.249812453;0.427731933;1;0.351712928;1;6.3823;3.52656;3.29725;2.93227
0;S10;Resting Open;1;0.103275819;0.096899225;0.095273818;0.105526382;0.112778195;0.1004001;0.10340085;1;0.653663416;0.469242311;0.572393098;0.366466617;0.525381345;0.553888472;1;0.685296324;0.387971993;0.271192798;0.656789197;0.389847462;1;0.29619905;0.221180295;0.555513878;0.293698425;1;0.577269317;0.333708427;0.722305576;1;0.239059765;0.494248562;1;0.34496124;1;10.2668;10.0632;6.82095;8.80083
0;S11;Resting Open;1;0.14616154;0.139284821;0.135908977;0.151787947;0.146286572;0.119404851;0.125656414;1;0.654788697;0.45323831;0.696674169;0.362215554;0.48312078;0.486496624;1;0.601275319;0.493623406;0.285446362;0.549387347;0.383595899;1;0.352088022;0.222805701;0.511002751;0.293323331;1;0.449487372;0.413103276;0.558139535;1;0.25743936;0.377094274;1;0.424981245;1;11.6148;7.74077;6.14312;6.73917
0;S13;Resting Open;1;0.147036759;0.13215804;0.123780945;0.13915979;0.137284321;0.123405851;0.126156539;1;0.520005001;0.403225806;0.574643661;0.418104526;0.397849462;0.501250313;1;0.605151288;0.403975994;0.300700175;0.494373593;0.37471868;1;0.323830958;0.256564141;0.442735684;0.3012003;1;0.561890473;0.360215054;0.655913978;1;0.2971993;0.548637159;1;0.395973993;1;10.3703;5.68185;6.28084;7.31577
0;S14;Resting Open;1;0.128407102;0.122780695;0.106276569;0.12428107;0.138534634;0.102525631;0.115028757;1;0.351587897;0.197674419;0.35483871;0.292948237;0.319954989;0.350087522;1;0.311702926;0.295948987;0.235933983;0.373218305;0.284446112;1;0.161540385;0.147286822;0.204551138;0.16204051;1;0.312828207;0.261940485;0.341460365;1;0.21467867;0.304076019;1;0.308327082;1;-9.26203;-8.31952;-6.03614;-4.83521
0;S15;Resting Open;1;0.11527882;0.113153288;0.127031758;0.123780945;0.125031258;0.089522381;0.087021755;1;0.594273568;0.425356339;0.6004001;0.327456864;0.431357839;0.323205801;1;0.568642161;0.385971493;0.251687922;0.415353838;0.231432858;1;0.285946487;0.205926482;0.382470618;0.190422606;1;0.498499625;0.339084771;0.395473868;1;0.22068017;0.298324581;1;0.368717179;1;1.75153;0.817161;1.74467;-0.632204
0;S16;Resting Open;1;0.126656664;0.114403601;0.117904476;0.132908227;0.139409852;0.110152538;0.111277819;1;0.453363341;0.402225556;0.431982996;0.319704926;0.363215804;0.342835709;1;0.440735184;0.340585146;0.246186547;0.381595399;0.290947737;1;0.316829207;0.24656164;0.369217304;0.263315829;1;0.404476119;0.307701925;0.3975994;1;0.231932983;0.301575394;1;0.313203301;1;0.361259;-1.98717;-1.20539;-1.29076
