;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S2;Resting Open;0.027614012;0.037335127;0.0309492;0.026820281;0.027682621;0.037277529;0.03111499;0.02706543;0.028719353;0.039010302;0.035001706;0.028701436;0.026575692;0.036807457;0.033304432;0.02463162;0.026179328;0.037686531;0.039145865;0.025798763;0.026323071;0.035391303;0.031291933;0.024191468;0.025214165;0.034060462;0.036066359;0.022626852;-2.61321;-1.90197;3.42417;3.9219
S3;Resting Open;0.046334164;0.028342585;0.014756691;0.030679849;0.044953552;0.028947506;0.015919348;0.035635409;0.043547666;0.029033786;0.01737008;0.034153193;0.047698437;0.029427195;0.016210048;0.030652346;0.041173957;0.031176431;0.018778348;0.036660006;0.046036479;0.028139924;0.017396745;0.032780678;0.043215832;0.025116362;0.014914236;0.027699094;-6.69831;1.73955;13.1806;-0.127294
S5;Resting Open;0.012834732;0.017736995;0.05204449;0.032955682;0.012400007;0.016124658;0.072259784;0.038196785;0.012993897;0.018346612;0.088334783;0.04023591;0.013758589;0.018547953;0.0463176;0.031008582;0.012858779;0.017458106;0.052484868;0.033868035;0.009813882;0.014293734;0.05962376;0.030312679;0.012256351;0.017025516;0.0389036;0.027901963;3.36028;2.19146;-4.47198;-5.80598
S6;Resting Open;0.013942875;0.023914283;0.05713828;0.029524554;0.013240957;0.023520051;0.06180971;0.033942044;0.014727768;0.025313627;0.066140136;0.042417681;0.010890596;0.023320953;0.071005538;0.03103371;0.010345393;0.018865006;0.089944328;0.032963997;0.012318949;0.019367456;0.053555095;0.025942264;0.008587013;0.015932701;0.052633498;0.020417773;4.71167;0.726253;-4.81987;-3.69632
S7;Resting Open;0.036714313;0.04827742;0.019408525;0.020379876;0.02892019;0.048353116;0.019558577;0.02285661;0.030687667;0.04875383;0.022158198;0.024900313;0.035953671;0.049791899;0.02192842;0.020554634;0.03872959;0.051349562;0.02624442;0.022609402;0.030856977;0.048827328;0.017076637;0.01796427;0.036011018;0.043994538;0.018840395;0.017793153;-5.66945;-4.42898;7.42174;9.69027
S10;Resting Open;0.029570732;0.028398272;0.040300565;0.021280368;0.029238581;0.02754377;0.035354279;0.021385153;0.030036058;0.02741805;0.032777321;0.022469578;0.029342003;0.028984976;0.051106221;0.02328813;0.029800264;0.030112782;0.064609535;0.026880579;0.033825257;0.029792327;0.031484479;0.019583788;0.029446895;0.027462262;0.044787417;0.019513475;-0.43983;-3.86374;5.10785;-0.163349
S11;Resting Open;0.013077198;0.02400815;0.065529648;0.018260107;0.012988797;0.023162683;0.065968404;0.018579216;0.011582072;0.022523042;0.064368695;0.01686566;0.012623558;0.022925016;0.075834847;0.020033552;0.014310874;0.02700817;0.10076887;0.023271175;0.011268274;0.021103677;0.077602538;0.016080302;0.012163781;0.021222139;0.098750452;0.019323881;7.65466;-5.50053;-4.42694;-2.81163
S13;Resting Open;0.027551842;0.035834633;0.018234474;0.049116464;0.026381795;0.032043597;0.018081622;0.049816298;0.027539422;0.033339192;0.018968263;0.053724234;0.027088543;0.034259116;0.018504986;0.049143812;0.028138362;0.034357784;0.017671325;0.047417272;0.02220981;0.030406309;0.014575219;0.038500321;0.024878934;0.033661681;0.016638607;0.041936331;-6.38086;9.42446;3.1803;2.26333
S14;Resting Open;0.031958096;0.027163082;0.03760624;0.023924718;0.027337412;0.029059642;0.037913153;0.027605833;0.028588558;0.030587755;0.045238288;0.058653273;0.029608442;0.030298235;0.037854603;0.023095201;0.034113339;0.031800225;0.039603182;0.026048375;0.024513206;0.026568357;0.03498317;0.024402067;0.026389549;0.028513059;0.036407886;0.022603519;-1.42456;-0.237881;4.65347;0.183279
S16;Resting Open;0.046757788;0.043595383;0.015695152;0.019921149;0.050173441;0.041131239;0.017107165;0.023780114;0.048477491;0.042461919;0.015382712;0.021462708;0.041125427;0.04229576;0.014612445;0.019191892;0.046482609;0.043681975;0.012421646;0.021770417;0.050095884;0.034090175;0.012459813;0.014115435;0.049984423;0.038540373;0.012083001;0.013688672;-7.12603;-5.39818;14.7259;5.9435
S18;Resting Open;0.025320268;0.036044196;0.029270197;0.028166984;0.026172849;0.037255312;0.03197357;0.028707509;0.026559495;0.039581465;0.040322781;0.031374222;0.027041508;0.034710078;0.030686884;0.029585082;0.028186801;0.034007037;0.033278653;0.031790536;0.023308208;0.032856922;0.030935774;0.028674831;0.025410618;0.032116097;0.029087543;0.028655983;-2.96298;0.125088;3.01148;3.13925
S19;Resting Open;0.023572362;0.035463899;0.032600345;0.020898804;0.024388984;0.03919041;0.038059922;0.023476282;0.024538762;0.0452352;0.050317457;0.033569312;0.024134488;0.034891655;0.031857142;0.019558937;0.027880347;0.043545408;0.045425678;0.023290918;0.02437708;0.042483628;0.04768608;0.028599599;0.023047052;0.031225597;0.035975256;0.019987895;-1.21098;-2.79469;2.13595;4.92428
S20;Resting Open;0.06609359;0.041797905;0.02527478;0.022493743;0.043291458;0.035204702;0.024311148;0.02118814;0.047521169;0.033719116;0.027113343;0.022771664;0.045150793;0.03482767;0.02153761;0.021893405;0.043250927;0.031518363;0.020196038;0.021873758;0.03595019;0.030017683;0.020777047;0.016347095;0.038165861;0.029814655;0.021207222;0.016079913;-5.07187;-4.72467;13.907;2.4052
S22;Resting Open;0.029612335;0.027084176;0.017339258;0.057756258;0.024741921;0.025327446;0.018900469;0.058138878;0.024724508;0.025604774;0.018066023;0.057015417;0.026318913;0.025687839;0.017177005;0.055600297;0.02553362;0.023679581;0.016179578;0.052753199;0.022562276;0.025098052;0.017007205;0.054749255;0.023953415;0.022691192;0.018792015;0.055360905;-6.38057;14.2081;2.63309;-1.92325
S24;Resting Open;0.027984591;0.038445413;0.028204936;0.0220497;0.029048406;0.038600362;0.029387596;0.023616796;0.026924077;0.043292751;0.033621377;0.029068746;0.031963438;0.039892401;0.03050177;0.023229068;0.035049133;0.043707323;0.034310928;0.025764647;0.025827616;0.036485318;0.033501834;0.024449591;0.031759643;0.04215194;0.035462155;0.025459348;-3.04531;-2.43471;5.16663;5.75408
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;7.12114;-4.98073;-5.57893;-2.00779
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-1.31573;14.2705;-2.28444;-5.05051
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;5.52174;8.77681;-7.24734;-9.17878
S6;Resting;0.008546755;0.014735703;0.070658927;0.022947303;0.008341649;0.01488573;0.076191851;0.026279047;0.008179694;0.015166092;0.085882618;0.037296272;0.007656328;0.014504116;0.092735693;0.026191696;0.007088038;0.01304691;0.128765196;0.033214702;0.007936909;0.013910443;0.067897938;0.018487639;0.006340676;0.012510271;0.073520257;0.01525102;9.40139;-2.11589;-7.15194;-7.30185
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;-0.490403;-3.16652;2.71209;1.86569
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;13.0671;-8.69402;-8.29928;-8.06481
S11;Resting;0.006330313;0.007662774;0.08675947;0.010578864;0.006459375;0.008060679;0.100028029;0.010762254;0.005843722;0.008324718;0.109984335;0.011396888;0.006151853;0.007490167;0.094779232;0.010886475;0.005897108;0.008100092;0.116393528;0.012883236;0.005448804;0.008125243;0.1476366;0.011246316;0.005642022;0.00727482;0.125963605;0.011520542;15.2903;-9.5323;-8.08925;-10.3759
S13;Resting;0.026891663;0.029126025;0.024340954;0.05017243;0.026602498;0.027196294;0.024619452;0.050435692;0.027297814;0.027050785;0.025723635;0.055336291;0.025655207;0.028693453;0.025280203;0.05647977;0.026172339;0.026965938;0.023392709;0.055121543;0.026571927;0.023732481;0.019988984;0.040444696;0.0260972;0.025795052;0.021377183;0.046765569;-4.93031;11.286;3.1725;-0.945302
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;8.03265;-4.78818;-3.18936;-5.52663
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;6.60352;-4.01226;-2.48629;-4.36467
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.33206;3.19;-1.70781;3.26986
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;6.11632;-5.97977;-3.91413;1.03483
S20;Resting;0.014075598;0.014898226;0.096791014;0.018498075;0.014379626;0.011433213;0.096791832;0.019377205;0.005991989;0.007883702;0.107346843;0.020547934;0.004475124;0.006711701;0.09840878;0.018274785;0.004089815;0.00634337;0.110270059;0.01960604;0.005910556;0.006934678;0.108614484;0.017810646;0.003560909;0.00500293;0.096491001;0.014432585;13.5849;-5.80169;-7.25403;-10.1415
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-0.696234;13.0921;-4.10414;-6.03481
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;15.4162;-11.5345;-7.03003;-10.3021
S2;Acuity;0.024159436;0.054145673;0.030346494;0.024199167;0.024009938;0.054072914;0.030426556;0.024249325;0.019914895;0.047198587;0.031849182;0.025344172;0.02391285;0.055114337;0.029092487;0.023113131;0.019920444;0.051458425;0.029249506;0.023232873;0.022089923;0.048489177;0.028449586;0.022183551;0.016801047;0.04673826;0.02562185;0.019920526;-3.5669;-3.22783;0.436203;10.9443
