;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S3;Resting Open;1;0.163949045;0.148152866;0.152993631;0.153630573;0.150573248;0.121528662;0.143184713;1;0.57044586;0.471974522;0.581146497;0.37477707;0.434904459;0.547770701;1;0.507133758;0.440509554;0.281910828;0.421273885;0.419490446;1;0.335414013;0.235286624;0.369936306;0.323949045;1;0.407898089;0.351464968;0.572484076;1;0.250573248;0.410828025;1;0.400127389;1;3.62362;1.78692;0.335753;-0.49191
0;S5;Resting Open;1;0.127388535;0.137834395;0.138726115;0.117452229;0.128025478;0.118853503;0.113375796;1;0.531464968;0.34955414;0.508917197;0.39656051;0.518471338;0.426878981;1;0.485350318;0.34866242;0.28866242;0.527770701;0.291974522;1;0.242292994;0.218471338;0.413248408;0.214140127;1;0.505477707;0.349936306;0.461273885;1;0.284203822;0.414522293;1;0.326496815;1;-1.97479;-0.366844;-0.915746;-1.34816
0;S6;Resting Open;1;0.130191083;0.122420382;0.098726115;0.135923567;0.147770701;0.109936306;0.125859873;1;0.592356688;0.361783439;0.511974522;0.366624204;0.500636943;0.512738854;1;0.443184713;0.435031847;0.30955414;0.559745223;0.438726115;1;0.27656051;0.214649682;0.425095541;0.279617834;1;0.517961783;0.388789809;0.572484076;1;0.291592357;0.479235669;1;0.443312102;1;3.61503;2.80607;2.81992;-0.109933
0;S7;Resting Open;1;0.126496815;0.125350318;0.117834395;0.13044586;0.12866242;0.100509554;0.114012739;1;0.608917197;0.567898089;0.609808917;0.44089172;0.537197452;0.520764331;1;0.670191083;0.469936306;0.330318471;0.538343949;0.409808917;1;0.432229299;0.310191083;0.510573248;0.365477707;1;0.553757962;0.43910828;0.557452229;1;0.335159236;0.503184713;1;0.434649682;1;12.612;6.87302;5.63704;5.71815
0;S10;Resting Open;1;0.116687898;0.108535032;0.108917197;0.130063694;0.136178344;0.092611465;0.122292994;1;0.702675159;0.538853503;0.63388535;0.412229299;0.561528662;0.614522293;1;0.748407643;0.457834395;0.307133758;0.683566879;0.45566879;1;0.364713376;0.256433121;0.609171975;0.360764331;1;0.630828025;0.388789809;0.757834395;1;0.267770701;0.553503185;1;0.407770701;1;12.1637;8.83222;10.8476;7.27805
0;S11;Resting Open;1;0.197197452;0.183694268;0.183057325;0.189171975;0.185350318;0.151719745;0.149681529;1;0.709044586;0.524458599;0.756687898;0.44089172;0.544585987;0.558089172;1;0.662802548;0.562675159;0.351464968;0.619363057;0.456942675;1;0.419872611;0.282165605;0.585732484;0.358980892;1;0.518216561;0.468917197;0.624840764;1;0.310573248;0.452101911;1;0.472611465;1;14.6181;8.74539;8.70522;7.51472
0;S15;Resting Open;1;0.14522293;0.14;0.14;0.152356688;0.157834395;0.098598726;0.097197452;1;0.652866242;0.493503185;0.640127389;0.377834395;0.478471338;0.372101911;1;0.633630573;0.435031847;0.281273885;0.472484076;0.267898089;1;0.338980892;0.23566879;0.459490446;0.228152866;1;0.561910828;0.384585987;0.444840764;1;0.258343949;0.347261146;1;0.421019108;1;2.79683;1.80389;-0.373496;2.82088
0;S16;Resting Open;1;0.130318471;0.117707006;0.132993631;0.143694268;0.156433121;0.12522293;0.129426752;1;0.468407643;0.436815287;0.491719745;0.367643312;0.401783439;0.388917197;1;0.478216561;0.39133758;0.280764331;0.439490446;0.330318471;1;0.376942675;0.284968153;0.42089172;0.301273885;1;0.459745223;0.373375796;0.468789809;1;0.281019108;0.348025478;1;0.376050955;1;1.28762;-1.11485;-2.42663;-1.43907
0;S18;Resting Open;1;0.214267516;0.206624204;0.193375796;0.223949045;0.215796178;0.168535032;0.174394904;1;0.723057325;0.555414013;0.641528662;0.508535032;0.552866242;0.462802548;1;0.69477707;0.571210191;0.440509554;0.591847134;0.395286624;1;0.441910828;0.348407643;0.544713376;0.305095541;1;0.662675159;0.454649682;0.521019108;1;0.360764331;0.527770701;1;0.427388535;1;15.8089;9.82275;6.7865;8.34394
0;S20;Resting Open;1;0.137324841;0.127643312;0.13477707;0.150828025;0.190191083;0.139490446;0.131082803;1;0.612229299;0.475796178;0.595159236;0.481528662;0.497324841;0.520382166;1;0.603312102;0.494649682;0.387006369;0.604968153;0.437197452;1;0.417070064;0.355796178;0.506496815;0.36866242;1;0.614012739;0.413503185;0.503949045;1;0.343312102;0.476687898;1;0.462420382;1;13.0216;7.24686;5.52505;5.04461
0;S21;Resting Open;1;0.139490446;0.121910828;0.116942675;0.158089172;0.167898089;0.110191083;0.126496815;1;0.567006369;0.484585987;0.582802548;0.414649682;0.474267516;0.471847134;1;0.582038217;0.426624204;0.304840764;0.444840764;0.358853503;1;0.362675159;0.268535032;0.428789809;0.31566879;1;0.529426752;0.385095541;0.519745223;1;0.295414013;0.433375796;1;0.436305732;1;6.09912;3.28931;1.12027;1.82919
