;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S3;Resting Open;1;0.163949045;0.148152866;0.152993631;0.153630573;0.150573248;0.121528662;0.143184713;1;0.57044586;0.471974522;0.581146497;0.37477707;0.434904459;0.547770701;1;0.507133758;0.440509554;0.281910828;0.421273885;0.419490446;1;0.335414013;0.235286624;0.369936306;0.323949045;1;0.407898089;0.351464968;0.572484076;1;0.250573248;0.410828025;1;0.400127389;1;3.61967;0.0463673;2.37699;1.06558
0;S5;Resting Open;1;0.127388535;0.137834395;0.138726115;0.117452229;0.128025478;0.118853503;0.113375796;1;0.531464968;0.34955414;0.508917197;0.39656051;0.518471338;0.426878981;1;0.485350318;0.34866242;0.28866242;0.527770701;0.291974522;1;0.242292994;0.218471338;0.413248408;0.214140127;1;0.505477707;0.349936306;0.461273885;1;0.284203822;0.414522293;1;0.326496815;1;-2.1721;-1.04648;-0.149487;-0.526559
0;S6;Resting Open;1;0.130191083;0.122420382;0.098726115;0.135923567;0.147770701;0.109936306;0.125859873;1;0.592356688;0.361783439;0.511974522;0.366624204;0.500636943;0.512738854;1;0.443184713;0.435031847;0.30955414;0.559745223;0.438726115;1;0.27656051;0.214649682;0.425095541;0.279617834;1;0.517961783;0.388789809;0.572484076;1;0.291592357;0.479235669;1;0.443312102;1;3.14734;1.58954;4.31373;1.68752
0;S10;Resting Open;1;0.116687898;0.108535032;0.108917197;0.130063694;0.136178344;0.092611465;0.122292994;1;0.702675159;0.538853503;0.63388535;0.412229299;0.561528662;0.614522293;1;0.748407643;0.457834395;0.307133758;0.683566879;0.45566879;1;0.364713376;0.256433121;0.609171975;0.360764331;1;0.630828025;0.388789809;0.757834395;1;0.267770701;0.553503185;1;0.407770701;1;11.2375;11.1441;9.99106;7.07869
0;S14;Resting Open;1;0.154394904;0.150318471;0.117579618;0.153503185;0.154394904;0.120636943;0.133757962;1;0.410828025;0.253630573;0.406878981;0.328917197;0.401019108;0.419363057;1;0.403312102;0.352611465;0.283821656;0.458089172;0.35566879;1;0.213503185;0.189936306;0.271974522;0.205859873;1;0.388535032;0.327133758;0.431974522;1;0.251464968;0.350318471;1;0.384713376;1;-6.33808;-6.63903;-3.07386;-4.31699
0;S15;Resting Open;1;0.14522293;0.14;0.14;0.152356688;0.157834395;0.098598726;0.097197452;1;0.652866242;0.493503185;0.640127389;0.377834395;0.478471338;0.372101911;1;0.633630573;0.435031847;0.281273885;0.472484076;0.267898089;1;0.338980892;0.23566879;0.459490446;0.228152866;1;0.561910828;0.384585987;0.444840764;1;0.258343949;0.347261146;1;0.421019108;1;2.7403;2.32872;-0.232705;2.55787
0;S16;Resting Open;1;0.130318471;0.117707006;0.132993631;0.143694268;0.156433121;0.12522293;0.129426752;1;0.468407643;0.436815287;0.491719745;0.367643312;0.401783439;0.388917197;1;0.478216561;0.39133758;0.280764331;0.439490446;0.330318471;1;0.376942675;0.284968153;0.42089172;0.301273885;1;0.459745223;0.373375796;0.468789809;1;0.281019108;0.348025478;1;0.376050955;1;1.52212;-1.80477;-0.889427;-1.02682
0;S21;Resting Open;1;0.139490446;0.121910828;0.116942675;0.158089172;0.167898089;0.110191083;0.126496815;1;0.567006369;0.484585987;0.582802548;0.414649682;0.474267516;0.471847134;1;0.582038217;0.426624204;0.304840764;0.444840764;0.358853503;1;0.362675159;0.268535032;0.428789809;0.31566879;1;0.529426752;0.385095541;0.519745223;1;0.295414013;0.433375796;1;0.436305732;1;5.77859;2.17867;2.77276;2.79464
0;S22;Resting Open;1;0.227770701;0.227515924;0.229044586;0.23477707;0.242165605;0.189426752;0.200509554;1;0.641019108;0.573757962;0.644203822;0.502165605;0.534012739;0.53044586;1;0.652738854;0.576815287;0.455923567;0.524458599;0.479235669;1;0.516178344;0.427643312;0.491464968;0.424968153;1;0.607770701;0.511847134;0.606878981;1;0.44343949;0.550063694;1;0.544840764;1;20.936;9.88673;11.1927;10.2488
0;S23;Resting Open;1;0.144203822;0.148535032;0.143566879;0.135796178;0.156433121;0.134904459;0.132611465;1;0.633630573;0.502292994;0.624585987;0.51388535;0.485859873;0.518343949;1;0.647388535;0.485477707;0.410191083;0.536305732;0.439363057;1;0.371719745;0.326878981;0.507898089;0.349808917;1;0.62522293;0.385732484;0.533375796;1;0.338980892;0.534649682;1;0.454904459;1;12.2217;6.61649;7.54211;6.89966
0;S24;Resting Open;1;0.149426752;0.13656051;0.118598726;0.137579618;0.125987261;0.092101911;0.098471338;1;0.571592357;0.411974522;0.633248408;0.439363057;0.433757962;0.485095541;1;0.509299363;0.421401274;0.296178344;0.443821656;0.330700637;1;0.308917197;0.235541401;0.370955414;0.237707006;1;0.620636943;0.335923567;0.550063694;1;0.24955414;0.490828025;1;0.372101911;1;1.93739;-0.223557;2.26048;2.6681
0;S27;Resting Open;1;0.083821656;0.081656051;0.084713376;0.08343949;0.087388535;0.077834395;0.080127389;1;0.579872611;0.457070064;0.475541401;0.365605096;0.293121019;0.363312102;1;0.588789809;0.424076433;0.318216561;0.320509554;0.304203822;1;0.333121019;0.255286624;0.321401274;0.26955414;1;0.471464968;0.239363057;0.417070064;1;0.199363057;0.374140127;1;0.253121019;1;-2.00481;-4.4986;-3.92091;-1.78652
0;S28;Resting Open;1;0.093503185;0.097197452;0.10433121;0.095414013;0.083312102;0.112993631;0.089681529;1;0.311974522;0.336178344;0.267006369;0.18433121;0.330573248;0.226242038;1;0.475923567;0.275286624;0.16955414;0.432229299;0.217961783;1;0.278089172;0.172356688;0.511210191;0.221528662;1;0.322165605;0.288025478;0.400764331;1;0.182929936;0.308535032;1;0.262547771;1;-11.6384;-7.52204;-8.82892;-9.87213
0;S29;Resting Open;1;0.087898089;0.088407643;0.086496815;0.077961783;0.081401274;0.12433121;0.10522293;1;0.501401274;0.308407643;0.481146497;0.255159236;0.387898089;0.447643312;1;0.406751592;0.350955414;0.199490446;0.405987261;0.325095541;1;0.223312102;0.159872611;0.298343949;0.198853503;1;0.430573248;0.259490446;0.476815287;1;0.159745223;0.310828025;1;0.372356688;1;-8.41423;-6.56399;-4.31654;-4.67205
0;S30;Resting Open;1;0.066878981;0.072101911;0.06866242;0.058598726;0.06433121;0.088917197;0.076815287;1;0.693121019;0.400636943;0.383057325;0.342547771;0.481528662;0.43044586;1;0.549044586;0.291464968;0.267898089;0.517579618;0.340382166;1;0.185987261;0.206751592;0.417197452;0.229426752;1;0.344840764;0.229171975;0.305350318;1;0.254649682;0.520636943;1;0.416178344;1;-3.52922;-0.884533;-1.35571;-2.50216
0;S32;Resting Open;1;0.086624204;0.078853503;0.08089172;0.085350318;0.077324841;0.097452229;0.096687898;1;0.64522293;0.466624204;0.597579618;0.374522293;0.556687898;0.518343949;1;0.604585987;0.457579618;0.289808917;0.61656051;0.403312102;1;0.341783439;0.225732484;0.508535032;0.302929936;1;0.46522293;0.398089172;0.498726115;1;0.262038217;0.369808917;1;0.473121019;1;5.80975;5.37987;3.90072;3.03778
